Customer_ID,Age,Gender,Marital_Status,Region,Loyalty_Score,Frequency,Recency,Discount_Response_Rate,Average_Basket_Value,Annual_Expenditure,Customer_Type,Channel_Preference,Tenure_Years,Returns_Rate,Satisfaction_Score,Category_Pref,Cluster,TSNE-1,TSNE-2
25,41,1,1,2,7.034295348758625,9,56,0.58,133.7,14439.6,3,1,1.7,0.02,3,2,0,7.064424,-53.243107
26,26,1,1,3,7.462608527137371,13,80,0.09,169.74,26479.44,1,0,7.4,0.13,3,3,0,55.83854,-25.898758
27,44,1,2,2,5.208092962078172,10,364,0.15,265.88,31905.6,0,0,9.4,0.1,2,4,0,56.846947,-30.168543
28,32,1,2,1,9.06949831630518,8,282,0.29,162.44,15594.24,0,1,5.8,0.07,1,1,0,29.694216,-57.76421
29,36,0,1,2,6.643128249249228,7,57,0.36,249.86,20988.24,3,2,9.1,0.05,4,3,0,-42.401543,9.422948
30,32,1,1,0,6.365305014585176,5,326,0.06,77.96,4677.6,1,0,8.1,0.24,3,4,0,35.47923,-41.637356
31,62,1,3,2,3.39324258566742,8,297,0.3,146.48,14062.08,1,2,9.5,0.06,5,4,0,54.331516,-19.585762
32,39,0,2,2,6.254796971242682,7,51,0.27,151.87,12757.08,3,0,3.5,0.07,2,4,0,-20.886805,28.20705
33,27,0,0,1,5.433582555208987,13,363,0.53,216.0,33696.0,0,2,6.4,0.0,2,4,0,1.0562692,6.252247
34,49,0,0,0,6.039658005342053,10,12,0.35,242.51,29101.2,2,0,2.4,0.24,4,4,0,-16.137537,23.439802
35,25,1,2,3,3.6308287617173383,5,97,0.47,133.48,8008.8,3,1,7.4,0.22,5,4,0,-7.0473166,-63.553207
36,42,0,1,2,5.256197768717973,10,109,0.31,287.78,34533.6,1,0,9.8,0.05,2,1,0,15.487619,35.650253
37,18,0,1,2,3.366276999570084,13,257,0.32,282.96,44141.76,3,0,3.3,0.01,2,4,0,1.5011888,35.828655
38,24,1,0,1,1.0,7,147,0.28,259.78,21821.52,3,2,0.7,0.03,5,0,0,-7.385535,-30.677017
39,42,1,1,1,6.996609137156767,8,194,0.28,150.3,14428.8,3,2,9.7,0.16,5,0,0,-1.6368549,-23.61184
40,48,0,1,1,1.9952220366209652,4,343,0.23,108.2,5193.6,3,1,0.4,0.2,4,4,0,-45.834343,-14.258848
41,42,0,1,2,5.214372929564832,9,237,0.08,296.46,32017.68,1,0,3.7,0.14,3,4,0,-10.283202,18.02008
42,38,0,2,0,5.66600425889808,6,72,0.34,221.29,15932.88,3,0,5.6,0.16,4,4,0,-29.457798,13.575902
43,36,0,2,3,5.65312603172611,10,226,0.22,205.47,24656.4,1,1,7.8,0.09,4,3,0,-18.170465,43.979126
44,22,0,1,1,4.4338418528035,7,126,0.17,160.65,13494.6,1,0,2.2,0.02,3,4,0,-13.456182,19.245989
45,31,0,1,0,5.5424229505599465,8,260,0.18,178.9,17174.4,0,0,0.6,0.18,3,1,0,-11.845485,14.164634
46,34,1,1,0,5.941934139570324,6,27,0.3,117.02,8425.44,3,0,7.0,0.15,5,1,0,20.644243,-48.28644
47,52,1,1,0,6.46992963150397,8,26,0.19,414.94,39834.24,3,1,1.1,0.04,3,1,0,28.110971,17.522892
48,44,1,2,3,8.466882678768526,13,353,0.18,217.92,33995.52,0,0,2.5,0.2,2,2,0,52.768932,-42.431904
49,18,0,1,1,5.468388302996411,4,299,0.33,233.2,11193.6,1,0,2.8,0.15,4,0,0,-16.862204,11.3693495
50,43,0,2,1,5.128097690035403,8,104,0.5,49.56,4757.76,3,0,8.4,0.57,5,1,0,-31.21583,-21.310362
51,35,0,1,0,3.186542069299812,2,365,0.45,136.38,3273.12,1,0,5.8,0.03,3,4,0,-34.241962,-32.72111
52,31,1,3,2,5.871892647798674,7,40,0.53,219.65,18450.6,3,0,4.6,0.14,3,0,0,23.89072,-47.214825
53,47,0,1,1,6.334766206281137,7,178,0.1,180.17,15134.28,1,0,0.4,0.09,3,3,0,-12.405045,18.51967
54,52,1,2,2,4.615393631436746,8,201,0.33,150.21,14420.16,0,0,5.1,0.03,3,1,0,33.27272,-53.341335
55,51,1,2,2,6.089225008368074,8,202,0.18,199.24,19127.04,3,0,7.2,0.01,3,4,0,37.682346,-31.815245
56,29,0,1,0,4.414967612901316,4,29,0.2,140.23,6731.04,3,0,9.8,0.01,4,3,0,-20.421461,33.76974
57,36,0,1,1,6.341985304177848,10,341,0.34,188.62,22634.4,2,1,4.9,0.09,4,0,0,-8.032171,16.482498
58,43,0,1,2,6.825204628059487,10,247,0.14,149.48,17937.6,1,0,5.6,0.05,3,0,0,-8.558127,16.659443
59,51,1,2,2,6.797255733460971,5,117,0.09,333.55,20013.0,0,2,3.3,0.15,3,0,0,47.670364,-48.9298
60,34,0,1,2,5.235688652282601,5,242,0.2,151.96,9117.6,0,2,8.2,0.04,3,0,0,-50.3082,29.923967
61,37,1,1,3,2.9200636967658973,4,274,0.05,183.21,8794.08,1,2,5.4,0.18,1,0,0,-17.117977,-45.555836
62,26,1,2,1,3.776173894716359,6,337,0.27,158.97,11445.84,1,1,3.8,0.16,3,4,0,-12.38934,-46.857033
63,25,0,1,3,6.190314647769457,7,247,0.15,200.38,16831.92,1,1,1.3,0.01,2,4,0,-31.67273,31.318132
64,49,0,2,0,9.897624611480454,7,149,0.6,693.86,58284.24,3,2,8.9,0.1,2,1,0,20.455593,51.934048
65,56,0,1,3,4.318558456935836,8,318,0.52,529.94,50874.24,3,2,8.0,0.1,5,4,0,7.3991747,29.70935
66,39,1,0,2,5.91167535677628,7,96,0.34,342.44,28764.96,0,0,2.2,0.01,2,2,0,27.557993,-31.185717
67,52,0,1,2,3.8878948850411934,6,106,0.24,267.51,19260.72,3,0,8.8,0.01,5,3,0,-15.258607,42.98356
68,44,1,1,3,3.0520659115017983,9,221,0.22,174.65,18862.2,3,0,5.6,0.03,3,0,0,39.17364,-14.297693
69,32,0,1,3,3.647368272845275,8,175,0.34,220.04,21123.84,3,0,7.7,0.21,1,4,0,6.9773755,19.65113
70,44,1,2,1,1.0,10,26,0.5,205.99,24718.8,2,0,6.5,0.15,2,2,0,20.576143,-53.8029
71,58,1,1,1,7.706870125815501,7,91,0.13,253.07,21257.88,0,0,0.8,0.0,2,4,0,31.40902,-38.845585
72,39,0,1,2,1.0,6,16,0.08,134.74,9701.28,2,2,2.6,0.23,3,2,0,-44.803,-19.74625
73,58,0,2,3,4.472343539198734,12,303,0.28,137.42,19788.48,3,2,4.3,0.02,3,0,0,-47.995327,9.077601
74,18,1,2,2,2.643744209299891,9,56,0.29,145.44,15707.52,3,0,1.2,0.05,3,4,0,31.591467,-21.601778
75,49,1,1,0,3.231239569275591,6,322,0.51,128.39,9244.08,0,0,3.8,0.3,3,2,0,-26.744291,-31.931044
76,41,0,2,0,7.753045319477335,7,51,0.1,153.92,12929.28,1,0,0.5,0.13,4,1,0,-12.978338,16.871443
77,36,1,2,3,5.402133980062784,8,283,0.35,278.09,26696.64,0,1,8.8,0.0,2,4,0,56.93204,-30.128101
78,41,1,1,0,3.069207681636599,6,110,0.06,203.62,14660.64,3,0,0.5,0.13,3,3,0,33.20814,-35.892593
79,18,1,2,2,3.820965735006978,6,66,0.09,206.76,14886.72,2,0,5.5,0.01,4,3,0,31.970179,-22.154322
80,37,1,0,3,3.4690375591158285,13,62,0.29,299.55,46729.8,3,0,6.9,0.01,3,2,0,44.0608,5.8407674
81,44,0,2,0,4.912908655842239,5,71,0.05,134.19,8051.4,3,0,3.0,0.06,4,2,0,-31.813717,12.166183
82,57,0,1,0,5.345783369575385,6,166,0.34,274.59,19770.48,1,2,0.1,0.06,3,4,0,-45.69307,-3.0214448
83,33,0,1,2,8.79114954645712,6,6,0.12,419.86,30229.92,1,0,5.6,0.25,2,4,0,5.6248446,27.668303
84,30,0,1,0,1.167398468004586,8,120,0.09,232.63,22332.48,1,2,4.7,0.05,3,4,0,-60.3347,25.839975
85,33,1,2,2,4.930375370484095,8,59,0.26,117.88,11316.48,3,0,2.0,0.14,4,0,0,21.671507,-46.376156
86,50,1,0,1,4.368864614930955,10,275,0.06,144.84,17380.8,3,2,1.0,0.02,5,4,0,6.7834973,-28.083694
87,43,1,1,0,6.893097055433564,15,79,0.33,119.96,21592.8,3,2,8.0,0.13,1,0,0,17.435547,-0.5061257
88,33,1,1,0,5.709636236356787,6,237,0.3,123.93,8922.96,3,0,2.0,0.01,2,1,0,29.013775,-38.72585
89,46,1,2,0,6.180724416229891,5,156,0.33,178.92,10735.2,1,1,4.3,0.02,1,4,0,3.6083171,-44.83183
90,41,0,2,2,5.690172372030165,11,138,0.13,188.62,24897.84,1,2,7.9,0.18,2,0,0,-3.8728178,-0.5068154
91,51,0,1,0,3.136017749432921,6,173,0.36,107.45,7736.4,2,2,9.2,0.1,3,1,0,-57.854973,13.876118
92,31,1,2,2,7.422530992986026,10,351,0.07,199.55,23946.0,3,0,4.0,0.13,3,4,0,48.179676,-17.24477
93,36,0,1,0,6.597009809231338,6,193,0.26,201.96,14541.12,3,2,4.7,0.0,3,3,0,-41.058247,10.457855
94,35,0,2,2,6.831059583449486,6,178,0.55,202.6,14587.2,2,0,7.1,0.06,1,2,0,-10.865665,32.50642
95,22,0,1,0,7.52810034101433,7,144,0.29,370.07,31085.88,3,0,1.6,0.12,3,2,0,18.245775,22.016785
96,43,0,3,3,5.835350201303919,8,318,0.31,144.82,13902.72,3,2,8.4,0.12,2,3,0,-66.24274,22.456545
97,43,0,1,2,7.961984808234986,8,234,0.44,85.82,8238.72,3,0,2.8,0.03,3,4,0,-22.536951,22.107498
98,40,0,1,2,5.755279143573282,7,322,0.05,198.85,16703.4,1,0,4.2,0.05,3,4,0,-10.1742115,17.880848
99,37,0,1,0,4.561882823950783,10,147,0.51,328.31,39397.2,3,2,9.4,0.06,3,4,0,-15.725447,60.747932
100,23,0,1,0,4.98679217903327,6,260,0.18,76.75,5526.0,0,0,9.7,0.11,2,0,0,-3.5765767,11.059353
101,34,1,0,0,4.952312463727767,9,43,0.2,187.44,20243.52,3,0,4.4,0.11,2,1,0,31.143908,-35.5739
102,35,1,0,0,3.9612173558189134,10,146,0.23,198.46,23815.2,3,0,2.8,0.01,3,3,0,31.268139,-35.195908
103,30,0,1,2,8.26377769674044,13,111,0.35,141.93,22141.08,3,0,1.5,0.02,4,3,0,-20.72115,18.14091
104,38,1,2,2,5.592590731007335,7,174,0.13,89.01,7476.84,1,0,1.6,0.02,4,1,0,22.986862,-46.18341
105,44,1,1,2,5.189476951665813,9,365,0.25,463.82,50092.56,3,2,5.2,0.01,4,4,0,36.083992,9.59874
106,62,0,2,1,5.776548509852868,8,246,0.31,177.44,17034.24,0,0,6.9,0.0,2,1,0,-6.85666,8.721405
107,42,1,1,0,10.0,10,302,0.57,127.33,15279.6,0,2,3.7,0.05,3,2,0,-1.1357273,-52.43914
108,43,0,1,1,2.736551622800681,6,213,0.26,349.34,25152.48,0,1,2.5,0.1,4,2,0,-9.982157,15.207046
109,39,0,1,3,3.3099229765674485,12,103,0.25,101.69,14643.36,3,0,0.1,0.02,5,3,0,-19.969599,17.748226
110,18,0,0,3,2.2388579651060074,11,158,0.23,137.56,18157.92,2,0,3.0,0.03,1,4,0,-30.175472,33.285446
111,39,0,1,3,4.534801523129028,6,192,0.09,89.29,6428.88,1,2,6.3,0.03,2,3,0,-48.301334,30.38347
112,40,1,2,3,5.491036886654721,8,41,0.16,116.04,11139.84,3,0,7.4,0.1,2,4,0,37.03368,-30.518017
113,69,0,0,2,4.069354963317846,8,133,0.05,131.45,12619.2,3,0,8.2,0.11,2,1,0,-6.62097,24.710373
114,37,0,2,3,3.92054640369646,5,5,0.05,241.11,14466.6,1,0,5.3,0.05,2,1,0,-1.9156827,16.981245
115,43,0,1,1,5.284809733256265,7,201,0.13,316.73,26605.32,1,2,9.2,0.04,3,4,0,-9.130677,58.559967
116,39,1,2,1,3.995784350340605,10,75,0.09,325.19,39022.8,0,2,7.9,0.07,3,4,0,26.250277,12.633848
117,25,1,2,3,5.620351654365677,5,360,0.41,166.15,9969.0,3,0,7.9,0.04,1,0,0,15.824473,-59.233887
118,53,0,3,1,7.228468693485208,10,120,0.24,348.97,41876.4,0,1,0.3,0.0,3,4,0,-7.0291715,64.04066
119,49,1,2,3,6.354060939601613,6,38,0.29,104.69,7537.68,3,1,0.6,0.06,5,2,0,22.233175,-45.214535
120,49,0,1,0,6.762026694330404,8,262,0.2,402.25,38616.0,3,0,7.7,0.06,3,4,0,10.50404,36.09896
121,29,1,2,3,7.17183682301344,6,186,0.17,192.04,13826.88,3,0,3.1,0.08,4,2,0,23.578873,-45.8744
122,56,1,0,1,5.565656320237406,10,270,0.29,316.14,37936.8,0,1,2.9,0.08,2,4,0,52.645306,-40.85082
123,23,1,0,0,4.6827179479137975,5,222,0.04,241.43,14485.8,2,2,3.0,0.17,3,0,0,0.13711648,-19.726004
124,47,1,2,1,3.4554938582336088,10,345,0.2,208.85,25062.0,2,0,7.5,0.04,4,4,0,47.888134,-28.074547
125,66,0,2,3,4.217643672728558,12,13,0.32,325.3,46843.2,2,2,6.8,0.43,4,3,0,20.385117,19.822464
126,28,0,1,1,3.952628934646211,7,155,0.33,159.76,13419.84,2,2,0.6,0.05,2,2,0,-38.254955,10.44353
127,33,1,2,0,6.463344653241824,10,184,0.24,325.61,39073.2,2,0,7.9,0.06,3,4,0,32.94018,2.1158752
128,41,0,1,1,5.693565109188392,9,68,0.3,174.65,18862.2,0,0,4.4,0.07,3,0,0,-8.049372,14.566386
129,33,1,2,1,6.393515725428603,8,187,0.12,903.33,86719.68,3,0,7.4,0.06,2,0,0,40.45558,28.34772
130,21,0,2,2,2.679326287799697,5,239,0.28,108.2,6492.0,2,0,9.5,0.05,3,0,0,-27.59578,43.76925
131,40,1,1,1,7.863498968482158,10,251,0.06,254.61,30553.2,2,2,6.4,0.04,3,4,0,7.341823,-34.194553
132,27,0,2,0,4.146039256986475,9,95,0.45,235.22,25403.76,3,2,6.9,0.09,3,1,0,-59.51137,15.728196
133,45,0,0,1,2.7999667158506747,11,177,0.15,312.57,41259.24,0,2,3.5,0.17,1,0,0,21.128754,17.3235
134,28,0,2,2,4.121564470356375,12,18,0.28,131.95,19000.8,1,0,6.3,0.14,2,0,0,-5.940762,17.150879
135,58,0,2,0,9.967531985175016,11,203,0.04,161.87,21366.84,3,0,7.2,0.2,3,0,0,11.288176,11.999032
136,30,0,3,2,4.224566267016865,3,332,0.09,121.44,4371.84,2,0,2.7,0.01,3,2,0,-21.556551,19.644354
137,36,0,1,2,4.349807057058149,9,3,0.29,245.42,26505.36,0,2,3.4,0.09,3,1,0,-6.3538513,-1.3747507
138,49,0,1,3,4.615790638740648,6,207,0.08,397.86,28645.92,0,0,1.0,0.03,2,0,0,0.1411053,17.125038
139,25,0,2,1,4.7027592331370895,11,57,0.33,193.0,25476.0,3,0,7.7,0.11,3,2,0,-10.53621,31.236881
140,42,0,1,1,3.4370478683974914,6,325,0.35,300.01,21600.72,0,2,6.3,0.03,3,4,0,-9.926466,58.660664
141,55,1,1,2,5.2864261664122605,7,287,0.07,856.69,71961.96,1,1,3.9,0.19,2,4,0,40.045338,26.40586
142,20,0,2,2,7.151189816396661,9,264,0.15,202.06,21822.48,2,0,5.4,0.02,5,4,0,-17.715216,42.005657
143,42,1,1,0,5.628578630957414,9,10,0.69,61.7,6663.6,3,0,6.8,0.37,3,1,0,-22.833233,-33.599113
144,43,0,1,2,2.777669402200029,8,3,0.46,221.74,21287.04,2,0,1.9,0.14,1,4,0,4.904171,5.001082
145,49,0,2,3,4.311308190132583,6,12,0.13,346.29,24932.88,0,0,6.8,0.02,4,0,0,16.800058,40.2475
146,25,0,1,1,3.8969451997967406,6,348,0.26,122.28,8804.16,0,2,6.3,0.0,5,3,0,-54.68883,36.15802
147,24,1,1,2,5.105878936469602,7,106,0.4,141.47,11883.48,2,0,6.5,0.26,2,0,0,13.70667,-63.93665
148,46,1,2,2,7.660903343124634,6,350,0.22,124.36,8953.92,2,2,3.3,0.19,1,4,0,-11.55822,-43.45577
149,43,0,1,0,4.702234407958234,8,275,0.42,263.98,25342.08,1,1,1.6,0.06,3,2,0,-9.949564,14.278329
150,43,0,2,3,4.823690262259219,8,209,0.07,142.99,13727.04,3,2,4.0,0.01,1,2,0,-53.217648,14.773809
151,44,1,1,0,8.55528963763886,10,14,0.3,443.47,53216.4,3,2,1.0,0.07,1,3,0,26.815693,18.24994
152,31,1,1,3,6.75241198334332,11,103,0.2,310.82,41028.24,3,2,1.7,0.0,3,4,0,49.332787,1.437863
153,42,0,1,2,6.14816256421307,5,243,0.24,526.0,31560.0,2,0,5.6,0.03,5,4,0,6.6938725,50.344498
154,43,0,0,1,8.916263230603551,7,331,0.22,249.19,20931.96,3,0,9.3,0.18,1,4,0,6.686451,12.518531
155,31,1,2,1,5.979622509588026,7,29,0.06,324.22,27234.48,3,2,2.3,0.08,3,1,0,20.336784,6.4761186
156,62,1,1,2,1.026945716044955,6,263,0.35,298.55,21495.6,3,0,5.4,0.16,3,3,0,48.351765,-29.53341
157,45,1,1,2,6.665331515760721,10,49,0.53,138.87,16664.4,3,1,1.7,0.16,3,1,0,7.0763044,-53.458538
158,25,0,1,1,1.8159830857627,9,193,0.49,313.5,33858.0,3,0,5.4,0.03,4,4,0,-23.87451,49.816883
159,47,1,1,2,5.904010737164896,13,263,0.35,299.11,46661.16,3,0,7.6,0.03,3,0,0,39.234264,16.323738
160,28,1,2,2,1.57251285174152,5,272,0.18,125.27,7516.2,0,0,8.1,0.03,3,2,0,29.702988,-53.923325
161,49,1,2,1,4.066289179200161,6,99,0.06,75.8,5457.6,1,0,7.0,0.15,3,1,0,20.695547,-51.344334
162,53,1,2,2,4.272430940780257,7,144,0.2,206.07,17309.88,1,0,2.1,0.23,2,4,0,33.33766,-38.914486
163,30,0,3,3,3.459761785536493,18,341,0.55,224.57,48507.12,0,0,4.6,0.09,2,1,0,2.617644,7.057726
164,51,1,2,2,4.3022960056176,7,338,0.24,119.05,10000.2,0,1,8.2,0.08,2,1,0,34.38346,-52.395897
165,44,1,0,0,7.065123440721105,9,329,0.5,248.43,26830.44,3,2,7.4,0.1,3,3,0,-7.0878496,-33.533924
166,49,1,1,0,3.5720941756808933,9,61,0.51,231.13,24962.04,3,0,8.0,0.16,2,2,0,20.217813,-53.799778
167,62,1,2,2,6.090281759021082,5,365,0.21,246.11,14766.6,0,0,1.0,0.02,3,2,0,37.82217,-51.185474
168,37,1,1,1,3.0687007207854,4,273,0.27,140.5,6744.0,2,0,7.3,0.02,3,3,0,36.97472,-36.314354
169,30,0,1,2,4.621000847215742,9,287,0.09,235.85,25471.8,1,0,4.5,0.14,2,1,0,1.8689296,18.903385
170,29,0,0,0,5.647678532654901,8,59,0.2,269.18,25841.28,2,0,3.6,0.01,3,0,0,-16.210499,15.942602
171,30,0,2,2,3.0069431667628805,1,88,0.16,378.93,4547.16,2,2,1.7,0.02,5,4,0,-27.743881,36.643005
172,39,0,2,1,2.37655913417862,7,262,0.37,88.13,7402.92,2,2,2.5,0.2,5,0,0,-51.30808,5.6561418
173,44,0,2,1,5.983756301157777,5,288,0.41,997.83,59869.8,2,1,6.0,0.07,4,0,0,37.73027,28.058073
174,43,1,2,3,7.246160798681277,7,287,0.63,407.96,34268.64,2,0,7.1,0.04,3,3,0,52.79585,-33.170982
175,49,0,1,2,4.841869961025256,9,251,0.12,231.9,25045.2,2,2,5.5,0.04,4,1,0,-48.973984,9.801792
176,40,0,0,0,4.085374186886591,7,240,0.49,249.66,20971.44,3,2,9.7,0.01,2,1,0,-62.442825,12.298101
177,57,0,2,2,5.3113507753767735,4,9,0.16,91.14,4374.72,3,0,2.0,0.14,4,1,0,-31.688196,11.200958
178,36,0,1,3,5.1109598375307606,7,3,0.03,176.23,14803.32,3,0,5.8,0.03,5,3,0,-19.834427,30.539421
179,72,1,1,0,5.485805081422503,2,126,0.19,324.67,7792.08,2,0,7.5,0.14,4,0,0,18.177708,-48.83725
180,47,0,2,2,1.0,7,71,0.36,169.64,14249.76,0,2,2.5,0.02,2,3,0,-43.330635,13.340502
181,29,0,2,3,2.8617914176680737,8,162,0.04,149.88,14388.48,3,1,0.5,0.01,3,1,0,-36.11021,20.750498
182,27,0,1,0,3.3095397891262923,6,299,0.21,198.59,14298.48,3,2,2.5,0.13,4,4,0,-59.090057,27.179918
183,45,1,0,1,5.301735257023125,7,221,0.37,233.81,19640.04,3,0,0.2,0.02,4,0,0,23.463736,-40.93108
184,37,1,1,1,5.371755767244533,3,161,0.32,148.62,5350.32,3,0,4.6,0.1,3,4,0,36.064903,-36.78666
185,48,1,2,3,6.272360977368072,8,325,0.69,216.72,20805.12,2,2,0.5,0.15,5,4,0,-29.250095,-2.1358426
186,45,0,2,3,5.515163498420874,7,164,0.07,245.26,20601.84,2,2,7.5,0.23,4,0,0,-28.25918,-4.557081
187,39,1,2,0,2.398529859225329,7,79,0.27,135.74,11402.16,2,2,9.0,0.05,1,3,0,-11.615433,-54.55927
188,29,1,1,0,7.89400923517012,10,121,0.37,120.51,14461.2,1,0,3.3,0.02,5,1,0,26.175558,-48.854965
189,21,0,1,0,7.5438366068447325,6,202,0.23,214.55,15447.6,3,1,5.9,0.07,3,3,0,-41.028477,10.486028
190,34,1,2,2,2.4836054199461484,6,324,0.51,203.11,14623.92,0,0,8.3,0.02,4,0,0,28.972021,-53.09866
191,50,0,1,0,5.665410588748366,9,357,0.18,144.72,15629.76,0,1,2.7,0.03,2,1,0,-6.3988976,7.8517504
192,42,1,1,1,3.8091512295139687,4,47,0.4,225.25,10812.0,3,2,7.1,0.03,5,1,0,-3.9322164,-26.41034
193,25,0,1,3,5.277727978401097,5,229,0.15,262.32,15739.2,3,0,9.0,0.01,3,0,0,-26.62253,43.928627
194,42,0,3,3,7.106620559283741,6,301,0.29,131.85,9493.2,2,1,6.9,0.11,3,3,0,-66.29071,22.482964
195,44,0,2,0,9.26020853264192,13,358,0.45,174.49,27220.44,0,0,6.8,0.19,3,0,0,0.9199584,9.141785
196,29,0,0,2,6.50255541028522,6,96,0.37,216.32,15575.04,3,0,1.2,0.12,4,0,0,-15.625776,14.829872
197,41,1,2,1,5.589869470220272,9,216,0.47,374.22,40415.76,1,2,1.7,0.5,2,4,0,7.4678683,-2.274604
198,40,1,2,2,4.3203576633834055,2,340,0.24,233.13,5595.12,1,2,5.9,0.09,2,2,0,-9.520746,-50.090687
199,26,1,0,0,5.364269742022353,5,41,0.27,270.65,16239.0,2,0,2.0,0.04,3,1,0,30.728567,-35.887444
200,44,0,0,0,7.719543786656628,8,360,0.24,126.91,12183.36,2,1,4.7,0.01,1,4,0,-16.59035,9.514105
201,46,0,1,2,4.91058248648083,4,324,0.16,483.22,23194.56,2,0,8.7,0.06,1,2,0,-7.7976866,25.718082
202,52,1,1,0,3.2277746973046995,9,203,0.41,121.49,13120.92,3,1,9.5,0.01,2,3,0,41.82374,-23.233042
203,52,0,1,3,1.760620268966747,6,267,0.61,283.32,20399.04,0,0,4.2,0.05,1,1,0,-16.360067,2.6558175
204,23,1,1,1,6.026095734820501,9,272,0.42,209.75,22653.0,1,0,1.6,0.05,1,0,0,26.084356,-32.481426
205,28,0,2,2,5.494576251255479,4,105,0.43,161.37,7745.76,3,0,9.1,0.07,3,2,0,-11.93629,32.275223
206,46,0,1,3,3.708183653475407,5,65,0.3,154.91,9294.6,1,0,4.7,0.11,3,1,0,-2.0399225,18.180906
207,46,1,1,0,7.052028251414596,3,199,0.38,263.77,9495.72,1,0,3.0,0.06,3,4,0,34.806316,-41.19969
208,46,0,1,0,4.156446271224739,9,327,0.15,128.16,13841.28,0,0,9.9,0.01,2,1,0,-3.845655,10.859958
209,80,1,1,0,4.73071181635041,9,1,0.2,168.84,18234.72,3,2,9.0,0.03,3,2,0,3.8689427,-40.57808
210,46,0,1,3,4.966671733404113,7,225,0.18,106.5,8946.0,0,0,4.4,0.19,4,4,0,-10.166815,16.915174
211,53,0,0,1,4.298094515723824,9,4,0.14,168.73,18222.84,0,0,0.6,0.06,2,4,0,-14.1727915,20.205973
212,51,1,1,2,5.471730131499141,16,82,0.19,268.8,51609.6,3,0,5.9,0.15,1,0,0,38.885906,15.8352165
